,GP,W,D,L,F,A,GD,P
Liverpool,15,15,0,0,40,12,28,45
Leicester City,15,9,3,3,30,15,15,30
Manchester City,13,9,2,2,33,12,21,29
Manchester United,15,8,5,2,29,12,17,29
Tottenham Hotspur,14,8,2,4,27,15,12,26
Arsenal,15,7,5,3,26,20,6,26
Everton,14,7,4,3,19,15,4,25
Chelsea,15,7,3,5,22,15,7,24
Sheffield United,15,7,3,5,17,13,4,24
Burnley,15,7,2,6,20,19,1,23
Wolverhampton Wanderers,15,5,7,3,21,17,4,22
Crystal Palace,15,6,4,5,12,13,-1,22
Newcastle United,14,5,6,3,12,12,0,21
Brighton and Hove Albion,14,4,6,4,17,15,2,18
Watford,14,4,5,5,16,17,-1,17
Bournemouth,14,4,5,5,17,21,-4,17
Aston Villa,13,5,2,6,18,24,-6,17
West Ham United,14,4,3,7,23,26,-3,15
Norwich City,14,4,3,7,19,26,-7,15
Southampton,15,4,2,9,16,31,-15,14
